X1,X2,Anomaly
13.77508716,15.43739277,0
12.29866617,15.22203763,0
13.85724841,14.81052685,0
13.71485307,13.84977752,0
15.39185265,14.13526994,0
14.12347745,15.71456025,0
14.49917519,13.59404997,0
14.07032117,15.25408497,0
14.22521319,14.59313293,0
13.39952251,14.60049699,0
14.47486797,14.81460351,0
13.60067241,14.60926993,0
14.32372317,16.63508873,0
15.59737154,16.45214996,0
14.58198574,16.17852319,0
14.43553655,15.91046051,0
13.23628167,14.52027327,0
15.34634414,14.73940678,0
13.93830112,15.44490569,0
13.19517544,12.46754329,0
13.32079853,16.22371877,0
15.03392842,15.67469081,0
15.01191645,16.16858088,0
15.10625456,15.96225727,0
13.09537682,14.25229021,0
13.29228733,13.12231685,0
13.70430606,15.53321525,0
13.2457956,13.22192207,0
13.48718453,14.13212334,0
13.17153906,14.82987435,0
13.44713917,14.6628099,0
14.11048218,14.98662464,0
14.1840563,16.76908663,0
12.1376679,13.89011418,0
13.95063382,15.92542649,0
13.33703698,15.09810307,0
14.1068043,15.97827554,0
14.88081172,15.45430538,0
14.36387817,14.05679133,0
12.57801724,14.07032626,0
13.41604702,15.0982475,0
12.29514655,14.15596603,0
13.97086464,14.63128569,0
12.96275606,11.86533339,0
14.12157545,15.73859047,0
13.34231731,14.38196114,0
13.70887357,15.36500802,0
12.70758555,14.93259933,0
13.60864644,15.22450303,0
13.40229831,15.84763814,0
15.15743452,16.46288119,0
14.67704336,16.01014358,0
15.16813703,13.56380986,0
14.74962918,14.66693912,0
15.24464252,16.29016348,0
13.63574452,15.17916503,0
13.00766971,13.94245336,0
15.34193814,16.03501453,0
13.36310859,14.91711663,0
14.9114818,14.84537958,0
14.3544372,15.44774531,0
14.59927642,14.84129512,0
15.32617181,15.85433537,0
13.35802796,15.54722498,0
12.37821423,14.25632012,0
14.44913697,14.45326718,0
12.98596224,16.48558468,0
12.25441806,13.69954048,0
13.78495344,15.44043283,0
15.53519014,15.77650123,0
12.7143176,15.8338626,0
13.84365087,14.52497748,0
14.01413774,15.0580024,0
12.75116532,15.75760879,0
14.53921772,14.91350179,0
12.52867075,13.5524341,0
14.82230557,15.40939087,0
13.35172448,14.99142391,0
13.10391157,15.21232095,0
13.16462331,16.1477798,0
14.52926811,14.90199065,0
13.90186287,13.83934939,0
14.98968267,15.33690286,0
13.58021353,15.59497157,0
14.12104239,13.82070713,0
12.9693767,14.22215207,0
17.07013409,14.53997908,0
15.38705988,16.71875767,0
14.1621505,15.40618751,0
13.94772461,16.34704024,0
14.67980403,16.30312414,0
14.47182049,15.15400447,0
13.36444751,13.04052066,0
12.02658725,14.27728936,0
14.69042218,14.97190977,0
13.21560372,15.05708691,0
14.93909926,16.85608622,0
15.60499508,18.95782891,0
13.03156495,16.71177442,0
15.00737263,16.68395173,0
14.52023636,14.52605208,0
14.85007496,14.19304875,0
14.59421204,14.36518348,0
15.78707013,16.2010085,0
13.92226956,14.37718066,0
14.95964562,16.6961271,0
14.52675873,14.61560122,0
11.77803878,14.73074424,0
12.85649088,14.00372929,0
13.01590318,14.99908843,0
15.15101284,15.87344402,0
14.19146054,14.67040814,0
12.183906,13.19170146,0
13.79226837,14.14814759,0
13.68881617,15.95720573,0
13.83500061,15.24339251,0
14.74217984,14.52442752,0
12.94303825,15.46480315,0
13.65496338,13.97761516,0
15.59498363,15.04604092,0
13.77008383,15.37245864,0
16.22018163,14.39283954,0
13.55607802,13.83297533,0
14.71220536,15.16641362,0
14.27820667,15.55103063,0
13.22755893,13.69724152,0
13.17133235,13.04379718,0
15.22006247,15.70013751,0
13.08066651,14.4721085,0
13.68249708,14.24206174,0
12.77175209,14.871004,0
14.86570241,15.49827743,0
15.14607309,16.29564812,0
13.03209836,14.3741401,0
16.30279756,14.08390865,0
13.71637966,16.42810744,0
13.774717,13.43185858,0
15.06428103,15.40919076,0
12.31709854,14.07138374,0
14.22752068,15.52426551,0
14.68203811,14.84174825,0
14.21854325,14.60653412,0
14.38357023,15.40524125,0
14.74583961,16.98098743,0
13.76985292,13.51609816,0
14.02613574,14.18109333,0
12.71425699,14.42331522,0
14.22494922,16.28424729,0
14.29334503,15.9913826,0
14.95248197,14.36405347,0
14.73404568,15.81833149,0
19.28954011,10.67574063,1
8.738571201,16.79580754,1
0.307938461,5.391412581,1
28.54178582,21.59977621,1
19.03498788,12.02894863,1
14.37577873,23.35597256,1
8.778065882,16.68952644,1
